vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
11,1,48,8,7300,12,3,2,1,6,6,30,1,1
9,1,34,6,2979,13,3,2,1,2,6,30,1,1
3,1,24,5,124,6,3,2,1,4,6,30,1,1
9,2,21,5,1339,7,3,2,1,1,6,30,1,2
5,1,56,9,1157,8,3,1,1,6,6,30,1,1
9,1,35,6,1796,9,3,2,1,7,6,30,1,1
9,1,48,8,1497,8,3,1,1,7,6,30,1,1
3,1,21,5,125,4,3,2,1,3,6,30,1,1
3,1,26,6,125,12,3,2,1,5,6,30,1,1
2,1,19,4,124,1,3,2,1,6,6,30,1,1
9,2,27,6,1598,16,3,2,2,1,6,30,1,2
11,1,49,8,7300,14,3,2,1,6,6,30,1,2
5,1,31,6,499,20,3,2,1,7,6,30,1,1
9,2,43,7,1490,9,3,2,1,1,6,30,1,2
3,1,52,8,124,11,2,2,1,2,6,30,1,1
8,1,50,8,1995,9,2,3,1,2,6,30,1,2
3,1,36,7,108,1,3,2,1,2,6,30,1,1
5,1,29,6,1170,5,3,2,1,3,3,30,1,1
9,2,20,4,1299,18,3,2,1,1,6,30,1,2
9,2,62,9,1108,26,3,1,1,5,6,30,1,1
9,2,25,5,1598,2,3,2,1,6,6,30,1,2
9,2,49,8,1796,12,3,2,1,7,6,30,1,2
5,1,30,6,998,11,3,2,1,4,1,30,1,1
9,1,21,5,2967,1,2,1,1,6,6,30,1,2
3,1,23,5,125,4,3,2,1,6,6,30,1,1
4,1,49,8,124,3,3,2,1,2,3,30,1,1
8,1,53,8,2664,15,3,1,1,3,6,30,1,1
2,1,20,4,107,1,3,2,1,6,6,30,1,1
3,1,25,5,125,2,3,2,1,3,6,30,1,1
9,2,39,7,1461,4,3,2,1,5,6,30,1,2
9,2,46,8,1329,6,3,2,1,7,6,30,1,2
9,1,49,8,973,13,3,1,1,1,6,30,1,1
19,1,40,7,2151,12,3,2,1,2,1,30,1,1
9,1,26,6,1598,9,3,3,2,7,6,30,1,1
3,1,30,6,124,9,3,1,1,2,6,30,1,1
9,2,27,6,1242,13,3,2,1,4,6,30,1,2
11,1,25,5,8268,9,3,1,1,4,3,30,1,2
9,1,17,4,1388,10,3,1,1,4,6,30,1,1
9,1,23,5,1598,3,3,2,1,6,6,30,1,1
3,1,47,8,124,1,3,2,1,3,6,30,1,1
9,2,37,7,1587,8,3,2,1,6,6,30,1,2
9,1,31,6,1896,10,3,2,1,4,6,30,1,1
9,1,19,4,1910,10,3,1,1,6,6,30,1,1
9,2,50,8,1299,11,3,1,1,3,6,30,1,1
3,1,26,6,109,3,3,2,1,1,6,30,1,1
19,1,52,8,2198,1,3,1,1,4,6,30,1,2
2,1,25,5,599,10,2,2,1,5,6,30,1,1
9,2,29,6,1596,8,3,2,1,5,6,30,1,2
11,1,46,8,7300,12,3,1,1,6,6,30,1,2
5,1,25,5,599,17,3,2,1,2,3,30,1,1
9,1,36,7,1590,2,3,2,2,2,6,30,1,1
9,1,36,7,1590,2,3,2,2,2,6,30,1,1
9,1,40,7,1560,1,3,1,1,3,6,30,1,1
3,1,18,4,125,11,3,2,1,5,1,30,1,1
3,1,21,5,998,10,3,1,1,5,6,30,1,1
9,1,18,4,1229,7,3,1,1,7,6,30,1,1
9,2,51,8,1299,13,3,2,2,5,6,30,1,2
9,1,18,4,1390,8,3,2,2,5,6,30,1,1
5,1,27,6,998,1,3,2,1,6,3,30,1,1
2,1,27,6,49,8,3,2,1,1,6,30,1,1
9,1,54,8,1798,9,3,2,1,2,6,30,1,1
11,2,51,8,4500,1,2,1,1,2,6,30,1,2
3,1,30,6,125,9,3,2,1,1,6,30,1,1
9,1,20,4,1995,10,3,2,1,5,6,30,1,1
9,2,19,4,1149,9,3,1,1,2,6,30,1,2
9,2,87,11,1598,11,2,3,2,6,6,30,1,2
9,2,25,5,1598,4,2,3,2,6,6,30,1,2
9,2,37,7,973,14,3,1,1,4,6,30,1,2
9,2,32,6,1900,9,3,2,1,5,6,30,1,2
9,2,26,6,1388,6,3,2,1,7,6,30,1,2
11,1,61,9,4500,1,3,1,1,5,6,30,1,2
9,2,35,6,1242,6,3,1,1,5,6,30,1,1
5,1,40,7,998,6,3,2,1,4,6,30,1,1
11,1,53,8,6700,4,3,2,1,3,6,30,1,1
5,1,53,8,996,12,3,1,1,4,6,30,1,1
9,2,31,6,1587,13,3,1,1,4,6,30,1,2
3,1,24,5,124,4,3,2,1,2,6,30,1,1
9,2,23,5,1497,1,3,2,1,7,3,30,1,2
9,1,24,5,1995,7,3,1,1,2,6,30,1,1
9,1,22,5,1910,9,3,2,2,2,2,30,1,1
9,2,53,8,1596,6,3,2,1,3,6,30,1,2
9,2,42,7,1798,2,3,2,2,5,2,30,1,2
4,1,26,6,499,17,3,3,1,2,6,30,1,1
4,1,58,9,279,7,3,2,1,5,6,30,1,1
9,2,49,8,1368,8,3,2,1,1,6,30,1,2
9,1,37,7,1598,9,3,2,2,7,6,30,1,1
11,1,52,8,9360,6,3,1,1,5,6,30,1,2
11,1,31,6,4500,1,3,1,1,5,6,30,1,1
3,1,22,5,124,1,3,2,1,6,3,30,1,1
9,2,46,8,1388,6,3,2,1,4,6,30,1,2
9,2,35,6,1197,1,3,1,1,5,6,30,1,2
3,1,25,5,124,10,3,2,1,3,6,30,1,1
9,2,26,6,1598,7,3,2,1,4,6,30,1,2
3,1,27,6,125,5,3,2,1,1,6,30,1,1
9,2,21,5,1341,12,3,2,1,3,3,30,1,2
9,1,49,8,1797,4,3,2,1,1,6,30,1,1
20,1,44,7,5880,9,2,1,1,7,6,30,1,1
3,1,23,5,125,5,3,2,1,3,6,30,1,1
9,2,63,9,1995,5,3,2,1,3,3,30,1,2
9,1,24,5,1242,3,3,2,1,2,6,30,1,1
9,2,51,8,1343,12,3,2,1,3,6,30,1,2
5,1,39,7,1000,1,3,2,1,6,6,30,1,1
3,1,49,8,124,6,3,2,1,2,6,30,1,1
9,2,43,7,1686,4,3,1,1,6,6,30,1,1
9,2,35,6,1598,14,3,2,1,2,6,30,1,2
9,2,27,6,1796,7,3,2,1,7,6,30,1,1
3,2,51,8,102,1,3,2,1,3,6,30,1,2
11,1,33,6,6696,2,3,1,1,5,6,30,1,1
11,1,44,7,4500,1,3,1,1,6,6,30,1,2
9,1,19,4,1598,8,3,1,1,5,2,30,1,1
9,2,24,5,1595,2,3,2,1,2,6,30,1,2
19,1,52,8,1686,8,2,1,1,6,6,30,1,2
9,1,49,8,1896,12,3,2,1,7,6,30,1,1
9,2,50,8,1796,13,3,2,1,4,6,30,1,2
2,2,19,4,124,12,3,2,1,3,6,30,1,2
9,2,32,6,1339,10,3,2,1,2,6,30,1,2
3,1,26,6,124,4,3,2,1,3,6,30,1,1
9,2,37,7,1598,9,3,1,1,2,6,30,1,2
9,1,43,7,1395,1,3,2,1,5,6,30,1,1
3,1,21,5,125,11,2,2,1,6,6,30,1,1
8,1,48,8,1997,1,3,1,1,5,6,30,1,1
9,2,54,8,1781,12,3,2,2,3,6,30,1,2
19,1,26,6,2198,3,3,2,2,3,6,30,1,1
9,1,56,9,2979,13,3,1,1,3,6,30,1,2
11,2,42,7,3900,12,3,2,3,4,6,30,1,2
11,2,42,7,3900,12,3,2,3,4,6,30,1,2
11,2,42,7,3900,12,3,2,3,4,6,30,1,2
3,1,27,6,125,1,3,2,1,3,6,30,1,1
9,1,25,5,2231,2,3,2,1,7,6,30,1,1
11,1,41,7,6700,3,3,1,1,5,6,30,1,1
11,1,36,7,4500,3,3,1,1,6,2,30,1,2
9,1,35,6,1896,15,3,2,2,7,6,30,1,1
9,2,22,5,1242,5,3,2,2,7,6,30,1,2
9,1,90,11,1560,6,3,2,2,6,6,30,1,1
9,1,32,6,2231,9,3,2,2,6,6,30,1,1
9,2,45,7,1984,13,3,3,1,6,6,30,1,2
9,2,54,8,1598,3,3,2,1,6,6,30,1,2
11,1,50,8,9360,4,3,2,2,7,3,30,1,1
9,1,61,9,2143,3,3,2,2,7,3,30,1,1
9,1,57,9,2496,13,3,1,1,3,6,30,1,1
5,1,39,7,645,15,3,2,1,6,2,30,1,1
3,1,33,6,124,8,3,1,2,6,6,30,1,1
3,1,33,6,124,8,3,1,2,6,6,30,1,2
3,1,17,4,125,13,3,2,1,4,6,30,1,1
5,1,35,6,499,20,3,2,1,4,6,30,1,1
9,2,25,5,1396,3,3,2,1,4,6,30,1,2
9,2,26,6,1242,4,3,2,2,2,6,30,1,2
9,2,31,6,989,14,3,2,2,4,6,30,1,2
3,1,19,4,999,9,3,2,1,1,6,30,1,1
9,1,35,6,1598,14,3,2,1,7,6,30,1,1
5,1,36,7,125,7,3,2,1,6,6,30,1,1
9,2,36,7,1587,11,3,2,3,7,6,30,1,2
9,2,36,7,1587,11,3,2,3,7,6,30,1,2
9,2,44,7,1398,13,3,2,3,7,6,30,1,2
9,2,41,7,1598,15,3,2,1,6,6,30,1,2
5,1,44,7,656,10,3,2,1,4,3,30,1,1
3,1,26,6,125,4,3,2,1,7,3,40,1,1
5,1,22,5,645,8,3,2,2,5,6,30,1,1
9,1,34,6,1995,10,3,2,2,5,6,30,1,2
9,1,37,7,998,18,3,2,1,1,3,30,1,1
3,1,54,8,125,4,3,2,1,4,6,30,1,1
2,1,52,8,124,1,3,2,1,6,6,30,1,1
9,2,30,6,998,11,3,2,1,5,6,30,1,2
9,2,24,5,1497,1,3,2,1,3,6,30,1,2
3,1,26,6,124,4,3,1,1,5,1,30,1,1
9,1,48,8,1598,9,3,1,1,5,6,30,1,1
11,1,26,6,4500,4,3,1,2,3,6,30,1,1
11,1,26,6,4500,4,3,1,2,3,6,30,1,1
9,2,23,5,1596,1,3,1,1,5,6,30,1,2
9,1,29,6,1396,10,3,2,1,5,1,30,1,1
9,1,45,7,1396,16,3,1,1,6,6,30,1,2
3,1,35,6,124,2,3,2,1,6,6,30,1,1
2,1,22,5,49,5,3,2,1,4,6,30,1,1
9,2,20,4,1595,6,3,2,2,7,6,30,1,2
9,1,24,5,2401,10,3,2,2,7,6,30,1,1
9,2,25,5,998,2,3,3,1,5,6,30,1,2
3,1,35,6,124,2,3,2,1,3,6,30,1,1
9,2,22,5,1299,14,3,1,1,5,6,30,1,2
9,2,23,5,1796,13,3,2,1,3,6,30,1,2
9,1,27,6,1796,10,3,1,1,1,6,30,1,1
9,1,62,9,1798,14,3,2,2,7,6,30,1,1
9,1,41,7,1995,11,3,2,2,7,6,30,1,1
19,1,21,5,1968,3,3,1,1,2,6,30,1,2
11,1,44,7,7300,12,3,1,1,4,6,30,1,2
9,2,48,8,998,7,3,2,1,6,6,30,1,1
9,1,55,8,1560,7,3,2,2,6,6,30,1,1
9,1,55,8,1560,7,3,2,2,6,6,30,1,1
9,1,27,6,1797,2,3,2,1,6,6,30,1,1
9,1,19,4,1242,3,3,1,1,2,6,30,1,2
9,1,53,8,1796,12,3,2,1,1,3,30,1,1
11,1,40,7,6700,3,3,1,1,4,6,30,1,2
9,1,30,6,1598,9,3,2,1,1,6,30,1,1
9,1,74,10,2362,10,3,2,1,7,3,30,1,1
9,1,51,8,998,11,3,3,1,6,6,30,1,1
9,1,85,11,1396,20,3,2,2,4,6,30,1,1
9,1,45,7,1951,13,3,2,1,7,6,30,1,1
9,2,43,7,1995,8,3,2,1,7,3,30,1,2
9,1,65,9,1998,11,3,2,1,5,6,30,1,1
8,1,41,7,1798,1,3,1,1,1,6,30,1,1
9,2,42,7,1984,12,3,2,1,5,6,30,1,2
9,1,29,6,1598,14,3,1,1,5,6,30,1,1
9,1,42,7,1396,4,3,2,1,6,6,30,1,1
11,1,41,7,12000,11,3,1,1,2,6,30,1,2
2,1,17,4,125,1,3,3,1,2,6,30,1,1
9,1,21,5,1596,1,3,4,2,4,6,30,1,1
9,1,21,5,1596,1,3,4,2,4,6,30,1,2
9,2,42,7,2922,12,3,2,1,3,6,30,1,2
11,1,48,8,7300,12,2,1,1,5,6,30,1,2
9,2,22,5,1796,8,3,2,2,2,6,30,1,2
9,2,22,5,1796,8,3,2,2,2,6,30,1,1
9,1,35,6,1242,4,3,2,2,6,6,30,1,1
9,1,35,6,1242,4,3,2,2,6,6,30,1,2
9,1,52,8,1997,7,3,3,2,2,6,30,1,1
9,1,25,5,1360,11,3,2,1,3,6,30,1,1
9,1,68,10,3479,14,3,2,1,3,6,30,1,1
9,1,75,10,1796,12,3,1,1,5,6,30,1,2
9,1,42,7,2148,13,3,2,1,7,6,30,1,2
9,1,86,11,1590,10,2,1,2,2,6,30,1,1
9,1,86,11,1590,10,2,1,2,2,6,30,1,1
9,1,30,6,1689,13,3,2,2,4,6,30,1,1
9,1,30,6,1689,13,3,2,2,4,6,30,1,2
9,1,51,8,1598,14,3,2,2,1,6,30,1,1
9,1,36,7,1868,13,3,2,2,1,6,30,1,1
3,1,24,5,125,3,3,2,1,2,6,30,1,1
9,1,37,7,1997,7,3,2,3,4,6,30,1,1
9,1,37,7,1997,7,3,2,3,4,6,30,1,1
3,1,31,6,124,2,3,2,1,3,6,30,1,1
4,1,23,5,279,3,3,2,1,4,6,30,1,1
9,2,23,5,1598,9,3,1,1,3,6,30,1,2
5,1,30,6,675,9,3,2,1,1,6,30,1,1
9,1,54,8,1360,14,2,2,2,1,6,30,1,1
3,1,20,4,124,1,2,2,2,1,6,30,1,1
3,1,29,6,649,8,3,1,1,3,6,30,1,1
3,1,21,5,689,1,3,2,1,4,6,30,1,1
9,1,28,6,1896,9,3,2,1,3,6,30,1,1
3,1,36,7,125,3,3,2,1,3,6,30,1,1
9,2,26,6,1596,13,3,2,1,1,6,30,1,2
9,1,28,6,1995,3,3,2,3,2,6,30,1,1
9,1,28,6,1995,3,3,2,3,2,6,30,1,1
9,1,42,7,1997,5,3,2,3,2,6,30,1,1
3,1,21,5,125,6,3,1,1,6,6,30,1,1
11,1,27,6,6700,6,3,2,1,4,6,30,1,1
9,1,20,4,1364,5,3,2,1,3,6,30,1,1
9,1,23,5,1174,27,3,2,1,4,6,30,1,1
9,1,28,6,1400,9,3,2,1,6,6,30,1,1
9,1,26,6,1997,14,3,3,1,3,6,30,1,1
9,1,36,7,1798,3,3,2,1,4,6,30,1,1
3,1,37,7,125,1,3,2,1,3,6,30,1,1
9,1,59,9,1686,6,3,2,1,1,3,30,1,1
9,2,30,6,1896,13,3,3,1,4,6,30,1,2
9,2,68,10,1769,11,3,2,1,2,3,30,1,2
9,2,35,6,1242,9,3,2,2,5,6,30,1,2
5,1,45,7,652,3,3,2,1,1,6,30,1,1
9,2,48,8,1560,3,3,2,1,2,6,30,1,2
9,1,77,11,1197,1,3,1,1,2,6,30,1,1
9,1,30,6,1596,15,3,4,2,5,6,30,1,1
9,2,32,6,1796,12,3,4,2,5,6,30,1,2
3,1,33,6,125,6,3,2,1,7,6,30,1,1
9,2,49,8,1242,2,3,2,2,5,6,30,1,2
9,2,49,8,1242,2,3,2,2,5,6,30,1,1
9,1,32,6,1061,10,3,2,2,6,6,30,1,1
3,1,30,6,124,9,3,2,1,5,6,30,1,1
11,1,55,8,6696,2,3,1,1,3,6,30,1,2
2,1,49,8,49,18,3,2,1,5,6,30,1,1
9,1,35,6,2497,5,3,2,2,6,3,30,1,1
9,2,39,7,1199,11,3,2,2,6,3,30,1,2
9,1,19,4,996,4,3,2,2,5,6,30,1,1
9,2,57,9,1598,9,3,2,2,5,6,30,1,2
3,1,24,5,125,6,3,2,1,4,6,30,1,1
3,1,34,6,125,7,2,2,1,7,6,30,1,1
9,2,22,5,1968,2,3,2,1,6,6,30,1,2
9,1,35,6,1998,10,3,2,1,5,6,30,1,1
9,2,44,7,1997,12,3,2,1,4,6,30,1,2
9,2,50,8,1596,6,3,1,1,7,6,30,1,2
9,1,26,6,1395,1,3,2,1,4,6,30,1,1
3,2,44,7,124,15,3,2,1,3,6,30,1,2
9,1,25,5,1364,8,3,2,1,2,3,40,1,1
9,1,47,8,1998,13,3,3,1,6,6,30,1,1
11,1,33,6,6700,3,3,1,1,2,6,30,1,2
3,1,27,6,125,1,3,2,1,4,6,30,1,1
9,2,23,5,1275,18,3,3,2,6,6,30,1,2
9,2,23,5,1275,18,3,3,2,6,6,30,1,2
9,2,55,8,1598,12,3,2,1,4,6,30,1,2
5,1,63,9,955,9,3,2,1,3,6,30,1,1
9,1,71,10,1589,17,3,2,2,6,6,30,1,2
9,2,29,6,1229,6,3,2,2,6,6,30,1,2
3,1,30,6,125,2,3,2,1,3,6,30,1,1
9,2,23,5,1229,7,3,2,2,1,3,30,1,2
9,2,23,5,1229,7,3,2,2,1,3,30,1,2
9,2,85,11,1997,17,3,1,1,2,6,30,1,1
9,1,58,9,1388,7,3,1,1,4,6,30,1,1
9,2,30,6,1999,7,3,2,1,7,6,30,1,2
9,2,21,5,1199,15,3,4,1,1,6,30,1,2
11,1,61,9,4461,2,3,2,1,6,6,30,1,1
9,1,32,6,1198,7,3,1,1,6,6,30,1,1
9,1,32,6,1956,1,3,2,1,4,6,30,1,1
9,1,26,6,1596,6,3,1,1,3,6,30,1,2
5,1,56,9,675,6,3,2,1,5,6,30,1,1
9,1,40,7,1997,2,3,2,1,1,6,30,1,1
2,1,20,4,125,9,3,2,1,1,6,30,1,1
9,2,30,6,1781,14,3,1,5,6,6,30,1,2
9,2,30,6,1781,14,3,1,5,6,6,30,1,2
9,2,30,6,1781,14,3,1,5,6,6,30,1,1
9,2,30,6,1781,14,3,1,5,6,6,30,1,2
9,2,30,6,1781,14,3,1,5,6,6,30,1,2
19,1,31,6,1996,5,3,1,1,3,3,30,1,1
9,2,22,5,796,6,3,2,2,6,6,30,1,2
9,2,51,8,1596,12,3,2,2,6,6,30,1,2
9,2,29,6,2987,5,3,2,2,3,6,30,1,2
9,2,29,6,2987,5,3,2,2,3,6,30,1,1
3,1,23,5,125,5,3,2,1,3,6,30,1,1
5,1,35,6,599,7,3,2,1,4,6,30,1,1
19,1,31,6,1753,2,3,1,1,1,6,30,1,1
19,1,48,8,2287,8,2,1,1,2,6,30,1,1
9,1,85,11,1781,19,3,2,2,5,6,30,1,2
9,2,53,8,1399,9,3,2,1,5,6,30,1,2
5,1,24,5,645,4,3,1,2,2,6,30,1,1
5,1,24,5,645,4,3,1,2,2,6,30,1,1
9,2,37,7,1598,4,3,3,1,5,6,30,1,2
9,2,27,6,1388,6,3,2,1,2,6,30,1,2
9,1,22,5,1998,10,3,2,2,1,6,30,1,1
9,1,22,5,1998,10,3,2,2,1,6,30,1,1
9,1,35,6,1997,6,3,2,1,2,6,30,1,1
9,1,40,7,1995,4,3,2,1,1,6,30,1,1
9,1,44,7,1598,2,3,1,1,3,6,30,1,2
3,1,18,4,124,3,3,2,1,3,6,30,1,1
9,2,31,6,1124,11,3,2,1,4,3,40,1,2
9,1,82,11,3199,16,3,1,1,4,6,30,1,2
9,2,35,6,1587,12,3,2,1,6,6,30,1,2
19,1,43,7,1461,5,3,2,1,5,6,30,1,1
9,1,30,6,998,13,3,2,2,2,6,30,1,1
9,1,30,6,998,13,3,2,2,2,6,30,1,1
9,1,26,6,1390,6,3,2,2,1,3,30,1,1
9,1,26,6,1390,6,3,2,2,1,3,30,1,2
9,1,44,7,1598,6,3,2,1,1,6,30,1,1
5,1,35,6,998,3,3,2,1,1,6,30,1,1
9,2,51,8,1560,5,3,2,1,5,6,30,1,2
19,1,37,7,1598,2,3,2,2,5,3,30,1,1
9,1,58,9,1998,4,3,2,1,3,3,50,1,2
9,1,26,6,2143,4,3,2,2,6,6,30,1,1
9,2,21,5,1975,7,3,2,2,6,6,30,1,2
11,1,41,7,6700,3,3,2,1,7,6,30,1,1
11,1,58,9,7300,12,3,2,3,4,6,30,1,2
11,1,58,9,7300,12,3,2,3,4,6,30,1,2
11,1,58,9,7300,12,3,2,3,4,6,30,1,1
9,2,48,8,1794,12,3,2,1,5,6,30,1,2
9,1,84,11,1299,22,2,2,1,1,6,30,1,1
9,1,71,10,1999,11,3,1,1,5,6,30,1,1
9,1,35,6,1242,9,3,3,1,7,6,30,1,1
9,2,63,9,1248,2,3,1,1,5,6,30,1,2
9,1,76,11,1390,13,3,2,1,4,3,30,1,1
9,1,20,4,1398,2,3,3,1,2,3,30,1,1
9,1,39,7,1988,10,3,2,1,7,6,30,1,1
9,2,52,8,1587,12,3,2,1,6,6,30,1,2
9,2,26,6,1242,2,3,2,1,5,6,30,1,2
3,1,17,4,124,7,3,2,1,3,6,30,1,1
9,1,42,7,1461,1,3,2,1,5,6,30,1,1
4,1,22,5,471,2,2,2,1,5,6,30,1,1
9,2,59,9,1598,12,3,2,1,1,6,30,1,2
9,1,20,4,1796,2,2,2,3,1,6,30,1,1
9,1,20,4,1796,2,2,2,3,1,6,30,1,1
9,1,20,4,1796,2,2,2,3,1,6,30,1,2
9,2,63,9,1329,5,3,2,1,6,6,30,1,2
9,2,47,8,998,6,3,2,1,7,6,30,1,2
9,1,25,5,1468,12,2,1,1,2,6,30,1,1
9,1,87,11,1794,11,3,3,1,7,6,30,1,1
9,1,77,11,1199,11,3,1,2,3,6,30,1,1
9,1,77,11,1199,11,3,1,2,3,6,30,1,2
9,1,33,6,1992,10,3,2,1,6,6,30,1,2
11,2,34,6,6700,3,3,2,1,3,6,30,1,2
9,2,40,7,1242,7,3,1,1,6,6,30,1,1
9,1,27,6,1995,4,3,1,1,2,6,30,1,1
9,2,49,8,1400,15,3,4,1,4,6,30,1,2
9,2,25,5,1242,3,3,2,1,1,3,30,1,2
9,2,56,9,1242,2,3,2,1,5,6,30,1,2
9,2,20,4,1461,13,3,1,1,7,3,70,2,2
9,1,38,7,1995,4,2,2,4,7,6,30,2,2
9,1,38,7,1995,4,2,2,4,7,6,30,2,2
9,2,25,5,1596,6,3,2,1,6,6,30,1,2
9,2,28,6,1598,11,3,2,1,7,6,30,1,2
9,1,40,7,1197,5,3,2,1,6,6,30,2,1
9,2,26,6,1198,9,2,4,3,6,6,30,1,2
9,2,26,6,1198,9,2,4,3,6,6,30,1,1
9,2,65,9,1769,11,3,2,2,4,1,30,1,2
9,1,41,7,1398,1,3,2,2,4,1,30,1,1
9,2,54,8,1248,2,3,2,2,1,6,30,1,2
3,1,30,6,125,1,3,2,1,4,6,30,1,1
9,2,33,6,1999,7,3,2,2,6,6,30,1,2
9,2,33,6,1999,7,3,2,2,6,6,30,1,2
11,1,42,7,6700,3,3,2,1,3,1,30,1,1
9,1,82,11,998,12,3,2,1,3,6,30,1,1
9,1,64,9,2987,5,3,2,1,4,6,30,1,1
9,2,69,10,1896,7,3,2,1,2,6,30,1,2
9,1,42,7,2324,12,3,2,1,6,6,30,1,1
9,1,31,6,1206,7,3,2,1,3,6,30,1,1
9,1,25,5,1968,8,3,1,1,3,6,30,1,2
9,2,29,6,1242,7,3,2,1,2,6,30,1,2
9,2,25,5,1956,2,3,2,1,4,6,30,1,2
9,1,64,9,1796,4,3,1,1,2,1,30,2,1
9,1,44,7,1995,7,3,1,1,4,6,30,1,1
9,1,51,8,1997,5,3,2,1,7,6,30,1,1
9,2,40,7,1769,10,3,4,1,3,6,30,1,2
9,2,19,4,1399,4,3,2,2,2,6,30,1,2
9,1,19,4,1390,9,3,2,2,6,6,30,1,1
9,1,19,4,1390,9,3,2,2,6,6,30,1,1
3,1,42,7,124,14,3,1,1,7,6,30,1,1
9,2,26,6,1328,9,3,2,1,5,6,30,1,2
9,2,21,5,1598,10,3,2,4,2,6,30,1,2
9,2,21,5,1598,10,3,2,4,2,6,30,1,2
9,2,21,5,1598,10,3,2,4,2,6,30,1,2
11,1,42,7,9000,9,3,2,4,2,6,30,1,1
9,1,91,11,998,7,3,2,2,1,6,30,1,2
9,1,91,11,998,7,3,2,2,1,6,30,1,1
3,1,19,4,125,3,3,2,1,6,6,30,1,1
9,1,43,7,1598,4,3,1,1,4,6,30,1,1
5,1,47,8,599,6,3,2,1,4,6,30,1,1
9,1,21,5,1199,12,3,1,1,3,6,30,1,1
9,1,32,6,1995,9,3,3,2,7,6,30,1,1
9,1,32,6,1995,9,3,3,2,7,6,30,1,2
9,2,26,6,1587,12,3,3,3,4,6,30,1,2
9,2,26,6,1587,12,3,3,3,4,6,30,1,2
3,1,27,6,125,1,3,2,1,6,6,30,1,1
19,1,45,7,3199,5,3,2,1,6,6,30,1,1
9,1,52,8,1364,6,3,2,1,7,6,30,1,1
9,2,46,8,2460,9,3,2,1,3,6,30,1,2
9,1,31,6,1968,6,3,2,3,5,6,30,1,1
9,1,31,6,1968,6,3,2,3,5,6,30,1,2
9,2,69,10,1898,13,2,1,1,6,6,30,1,1
9,2,39,7,1992,9,3,1,1,6,6,30,1,2
3,1,26,6,114,1,3,2,1,6,6,30,1,1
9,2,24,5,1242,4,2,2,1,2,1,30,1,2
9,1,26,6,1761,16,3,2,1,7,6,30,1,1
5,1,58,9,998,5,3,2,1,3,6,30,1,1
9,2,38,7,1332,11,3,1,1,1,6,30,1,1
9,2,28,6,1390,1,3,3,1,5,6,30,1,2
9,1,18,4,1242,11,3,2,3,5,1,30,1,1
9,1,18,4,1242,11,3,2,3,5,1,30,1,2
9,1,51,8,2099,11,3,2,3,5,1,30,1,1
9,2,38,7,1598,10,3,2,1,4,6,30,1,2
5,1,25,5,749,19,3,2,1,7,6,30,1,1
3,1,17,4,125,3,3,2,1,4,6,30,1,1
9,2,54,8,1598,6,3,2,1,7,6,30,1,2
9,1,72,10,1951,9,3,2,1,3,6,30,1,1
9,2,55,8,1389,11,3,3,1,5,6,30,1,2
9,1,25,5,1339,5,3,2,2,1,6,30,1,1
9,1,25,5,1339,5,3,2,2,1,6,30,1,2
11,1,46,8,6370,3,3,1,1,5,6,30,1,1
9,2,20,4,1242,10,3,2,1,2,6,30,1,2
3,1,30,6,124,5,3,2,1,2,6,30,1,1
5,1,21,5,649,16,3,2,1,6,6,30,1,1
9,2,74,10,1598,15,3,1,1,7,6,30,1,2
11,1,53,8,4500,4,3,1,1,6,6,30,1,2
9,2,50,8,1248,4,3,2,1,6,6,30,1,2
9,2,53,8,1598,4,3,2,1,2,1,30,1,2
9,2,66,10,1781,20,3,2,1,5,6,30,1,2
9,2,19,4,1242,1,3,2,1,6,6,30,1,2
9,1,20,4,1586,5,3,1,1,2,6,30,1,2
5,1,32,6,449,10,2,2,1,1,6,30,1,1
3,1,23,5,124,7,3,2,1,3,6,30,1,1
5,1,31,6,600,15,2,2,1,3,6,30,1,1
9,2,44,7,1240,11,3,2,1,3,6,30,1,2
9,2,50,8,1388,6,3,2,1,4,6,30,1,2
9,1,78,11,1598,8,3,2,2,5,3,30,1,1
9,1,35,6,1968,5,3,2,2,5,3,30,1,1
19,1,40,7,2148,8,3,2,1,6,6,30,1,1
9,2,31,6,989,16,3,2,1,7,6,30,1,1
9,1,38,7,1686,4,3,2,1,5,6,30,1,1
9,1,40,7,1998,4,3,2,1,6,6,30,1,1
19,1,26,6,1998,12,3,2,1,3,6,30,1,1
9,2,24,5,1229,8,3,1,1,5,6,30,1,2
9,2,26,6,1560,10,3,2,1,7,6,30,1,2
9,2,66,10,1386,9,3,2,1,4,6,30,1,2
9,1,22,5,1329,1,3,2,2,6,6,30,1,2
9,1,22,5,1329,1,3,2,2,6,6,30,1,2
9,2,28,6,2143,1,3,1,1,6,6,30,1,1
3,1,19,4,108,1,3,1,1,3,6,30,1,1
9,2,46,8,1598,10,3,3,1,3,6,30,1,2
2,1,46,8,125,13,3,1,1,1,1,30,1,1
9,1,41,7,1796,7,3,2,1,5,6,30,1,1
4,1,63,9,650,55,3,2,1,6,6,30,2,1
9,2,22,5,1560,7,3,2,1,3,6,30,1,2
9,2,23,5,1598,9,3,2,1,7,6,30,1,2
9,1,24,5,1364,8,3,1,1,1,6,30,1,1
